state,district,year,month,rain
Maharashtra,Akola,2020,January,15.8
Maharashtra,Akola,2020,February,0
Maharashtra,Akola,2020,March,3.3
Maharashtra,Akola,2020,April,0
Maharashtra,Akola,2020,May,41.5
Maharashtra,Akola,2020,June,65.9
Maharashtra,Akola,2020,July,154.8
Maharashtra,Akola,2020,August,104
Maharashtra,Akola,2020,September,74
Maharashtra,Akola,2020,October,23.1
Maharashtra,Akola,2020,November,31
Maharashtra,Akola,2020,December,0
Maharashtra,Akola,2019,January,35.5
Maharashtra,Akola,2019,February,6.4
Maharashtra,Akola,2019,March,27.6
Maharashtra,Akola,2019,April,5.4
Maharashtra,Akola,2019,May,2.9
Maharashtra,Akola,2019,June,36.2
Maharashtra,Akola,2019,July,251.8
Maharashtra,Akola,2019,August,249.8
Maharashtra,Akola,2019,September,224.3
Maharashtra,Akola,2019,October,49.9
Maharashtra,Akola,2019,November,0
Maharashtra,Akola,2019,December,0
Maharashtra,Akola,2018,January,0
Maharashtra,Akola,2018,February,0
Maharashtra,Akola,2018,March,144.2
Maharashtra,Akola,2018,April,0
Maharashtra,Akola,2018,May,56
Maharashtra,Akola,2018,June,103.1
Maharashtra,Akola,2018,July,261.1
Maharashtra,Akola,2018,August,368.7
Maharashtra,Akola,2018,September,205.8
Maharashtra,Akola,2018,October,47.7
Maharashtra,Akola,2018,November,8.7
Maharashtra,Akola,2018,December,0
Maharashtra,Akola,2017,January,0
Maharashtra,Akola,2017,February,0
Maharashtra,Akola,2017,March,0
Maharashtra,Akola,2017,April,12
Maharashtra,Akola,2017,May,0
Maharashtra,Akola,2017,June,130.9
Maharashtra,Akola,2017,July,321.5
Maharashtra,Akola,2017,August,228
Maharashtra,Akola,2017,September,218.2
Maharashtra,Akola,2017,October,0
Maharashtra,Akola,2017,November,4.6
Maharashtra,Akola,2017,December,0
Maharashtra,Akola,2014,January,14.3
Maharashtra,Akola,2014,February,0
Maharashtra,Akola,2014,March,29
Maharashtra,Akola,2014,April,0
Maharashtra,Akola,2014,May,0
Maharashtra,Akola,2014,June,79.5
Maharashtra,Akola,2014,July,124.8
Maharashtra,Akola,2014,August,115.9
Maharashtra,Akola,2014,September,217
Maharashtra,Akola,2014,October,9.9
Maharashtra,Akola,2014,November,3
Maharashtra,Akola,2014,December,0
Maharashtra,Akola,2015,January,0
Maharashtra,Akola,2015,February,0
Maharashtra,Akola,2015,March,6.5
Maharashtra,Akola,2015,April,0.2
Maharashtra,Akola,2015,May,44.8
Maharashtra,Akola,2015,June,81
Maharashtra,Akola,2015,July,249.2
Maharashtra,Akola,2015,August,171.6
Maharashtra,Akola,2015,September,86.2
Maharashtra,Akola,2015,October,43.9
Maharashtra,Akola,2015,November,111.9
Maharashtra,Akola,2015,December,8.7
Maharashtra,Akola,2016,January,29.6
Maharashtra,Akola,2016,February,2
Maharashtra,Akola,2016,March,11.5
Maharashtra,Akola,2016,April,1
Maharashtra,Akola,2016,May,0.5
Maharashtra,Akola,2016,June,100
Maharashtra,Akola,2016,July,354.6
Maharashtra,Akola,2016,August,263.9
Maharashtra,Akola,2016,September,82.1
Maharashtra,Akola,2016,October,51.4
Maharashtra,Akola,2016,November,46.7
Maharashtra,Akola,2016,December,0
Maharashtra,Amraoti,2020,January,18.7
Maharashtra,Amraoti,2020,February,0
Maharashtra,Amraoti,2020,March,0
Maharashtra,Amraoti,2020,April,0
Maharashtra,Amraoti,2020,May,9.3
Maharashtra,Amraoti,2020,June,90
Maharashtra,Amraoti,2020,July,161.3
Maharashtra,Amraoti,2020,August,230.2
Maharashtra,Amraoti,2020,September,80
Maharashtra,Amraoti,2020,October,34.9
Maharashtra,Amraoti,2020,November,29
Maharashtra,Amraoti,2020,December,0
Maharashtra,Amraoti,2019,January,10.7
Maharashtra,Amraoti,2019,February,6.4
Maharashtra,Amraoti,2019,March,32.3
Maharashtra,Amraoti,2019,April,11.5
Maharashtra,Amraoti,2019,May,0
Maharashtra,Amraoti,2019,June,96.6
Maharashtra,Amraoti,2019,July,250.1
Maharashtra,Amraoti,2019,August,183.5
Maharashtra,Amraoti,2019,September,232.1
Maharashtra,Amraoti,2019,October,61.3
Maharashtra,Amraoti,2019,November,0
Maharashtra,Amraoti,2019,December,0
Maharashtra,Amraoti,2018,January,0
Maharashtra,Amraoti,2018,February,0
Maharashtra,Amraoti,2018,March,118.8
Maharashtra,Amraoti,2018,April,23.4
Maharashtra,Amraoti,2018,May,23
Maharashtra,Amraoti,2018,June,66.7
Maharashtra,Amraoti,2018,July,260.8
Maharashtra,Amraoti,2018,August,327.6
Maharashtra,Amraoti,2018,September,138.1
Maharashtra,Amraoti,2018,October,43.9
Maharashtra,Amraoti,2018,November,4.7
Maharashtra,Amraoti,2018,December,0
Maharashtra,Amraoti,2017,January,0
Maharashtra,Amraoti,2017,February,4.2
Maharashtra,Amraoti,2017,March,13.4
Maharashtra,Amraoti,2017,April,3.6
Maharashtra,Amraoti,2017,May,16
Maharashtra,Amraoti,2017,June,214.3
Maharashtra,Amraoti,2017,July,357.8
Maharashtra,Amraoti,2017,August,261.3
Maharashtra,Amraoti,2017,September,227.1
Maharashtra,Amraoti,2017,October,0
Maharashtra,Amraoti,2017,November,0
Maharashtra,Amraoti,2017,December,0
Maharashtra,Amraoti,2014,January,0
Maharashtra,Amraoti,2014,February,0
Maharashtra,Amraoti,2014,March,8
Maharashtra,Amraoti,2014,April,9
Maharashtra,Amraoti,2014,May,2
Maharashtra,Amraoti,2014,June,75
Maharashtra,Amraoti,2014,July,173.4
Maharashtra,Amraoti,2014,August,128.9
Maharashtra,Amraoti,2014,September,170.8
Maharashtra,Amraoti,2014,October,28.8
Maharashtra,Amraoti,2014,November,5
Maharashtra,Amraoti,2014,December,0
Maharashtra,Amraoti,2015,January,0
Maharashtra,Amraoti,2015,February,0
Maharashtra,Amraoti,2015,March,0
Maharashtra,Amraoti,2015,April,0
Maharashtra,Amraoti,2015,May,6
Maharashtra,Amraoti,2015,June,70.5
Maharashtra,Amraoti,2015,July,301.7
Maharashtra,Amraoti,2015,August,110.6
Maharashtra,Amraoti,2015,September,87.5
Maharashtra,Amraoti,2015,October,37.9
Maharashtra,Amraoti,2015,November,77.8
Maharashtra,Amraoti,2015,December,6
Maharashtra,Amraoti,2016,January,19.9
Maharashtra,Amraoti,2016,February,3
Maharashtra,Amraoti,2016,March,15.8
Maharashtra,Amraoti,2016,April,0
Maharashtra,Amraoti,2016,May,0
Maharashtra,Amraoti,2016,June,125.9
Maharashtra,Amraoti,2016,July,365.3
Maharashtra,Amraoti,2016,August,371.9
Maharashtra,Amraoti,2016,September,123.6
Maharashtra,Amraoti,2016,October,60.6
Maharashtra,Amraoti,2016,November,15.4
Maharashtra,Amraoti,2016,December,0
Maharashtra,Aurangabad,2020,January,1.1
Maharashtra,Aurangabad,2020,February,0
Maharashtra,Aurangabad,2020,March,0
Maharashtra,Aurangabad,2020,April,0
Maharashtra,Aurangabad,2020,May,3.7
Maharashtra,Aurangabad,2020,June,97
Maharashtra,Aurangabad,2020,July,190.9
